State,County,FIPS,MapDate,DSCI
AZ,Apache County,04001,20110517,245
AZ,Apache County,04001,20110524,231
AZ,Apache County,04001,20110531,231
AZ,Apache County,04001,20110607,241
AZ,Apache County,04001,20110614,241
AZ,Apache County,04001,20110621,241
AZ,Apache County,04001,20110628,285
AZ,Apache County,04001,20110705,285
AZ,Apache County,04001,20110712,278
AZ,Apache County,04001,20110719,270
AZ,Apache County,04001,20110726,270
AZ,Apache County,04001,20110802,270
AZ,Apache County,04001,20110809,270
AZ,Apache County,04001,20110816,266
AZ,Apache County,04001,20110823,233
AZ,Apache County,04001,20110830,220
AZ,Apache County,04001,20110906,223
AZ,Apache County,04001,20110913,223
AZ,Apache County,04001,20110920,200
AZ,Apache County,04001,20110927,200
AZ,Apache County,04001,20111004,200
AZ,Apache County,04001,20111011,185
AZ,Apache County,04001,20111018,174
AZ,Apache County,04001,20111025,174
AZ,Apache County,04001,20111101,173
AZ,Apache County,04001,20111108,173
AZ,Apache County,04001,20111115,174
AZ,Apache County,04001,20111122,174
AZ,Apache County,04001,20111129,174
AZ,Apache County,04001,20111206,174
AZ,Apache County,04001,20111213,174
AZ,Apache County,04001,20111220,164
AZ,Apache County,04001,20111227,164
AZ,Apache County,04001,20120103,164
AZ,Apache County,04001,20120110,164
AZ,Apache County,04001,20120117,164
AZ,Apache County,04001,20120124,165
AZ,Apache County,04001,20120131,165
AZ,Apache County,04001,20120207,165
AZ,Apache County,04001,20120214,147
AZ,Apache County,04001,20120221,152
AZ,Apache County,04001,20120228,180
AZ,Apache County,04001,20120306,184
AZ,Apache County,04001,20120313,208
AZ,Apache County,04001,20120320,206
AZ,Apache County,04001,20120327,207
AZ,Apache County,04001,20120403,212
AZ,Apache County,04001,20120410,212
AZ,Apache County,04001,20120417,260
AZ,Apache County,04001,20120424,310
AZ,Apache County,04001,20120501,310
AZ,Apache County,04001,20120508,310
AZ,Apache County,04001,20120515,310
AZ,Apache County,04001,20120522,333
AZ,Apache County,04001,20120529,333
AZ,Apache County,04001,20120605,333
AZ,Apache County,04001,20120612,333
AZ,Apache County,04001,20120619,359
AZ,Apache County,04001,20120626,360
AZ,Apache County,04001,20120703,360
AZ,Apache County,04001,20120710,360
AZ,Apache County,04001,20120717,360
AZ,Apache County,04001,20120724,360
AZ,Apache County,04001,20120731,360
AZ,Apache County,04001,20120807,359
AZ,Apache County,04001,20120814,359
AZ,Apache County,04001,20120821,338
AZ,Apache County,04001,20120828,325
AZ,Apache County,04001,20120904,328
AZ,Apache County,04001,20120911,329
AZ,Apache County,04001,20120918,323
AZ,Apache County,04001,20120925,323
AZ,Apache County,04001,20121002,323
AZ,Apache County,04001,20121009,323
AZ,Apache County,04001,20121016,322
AZ,Apache County,04001,20121023,322
AZ,Apache County,04001,20121030,322
AZ,Apache County,04001,20121106,326
AZ,Apache County,04001,20121113,314
AZ,Apache County,04001,20121120,314
AZ,Apache County,04001,20121127,318
AZ,Apache County,04001,20121204,322
AZ,Apache County,04001,20121211,322
AZ,Apache County,04001,20121218,322
AZ,Apache County,04001,20121225,322
AZ,Apache County,04001,20130101,323
AZ,Apache County,04001,20130108,323
AZ,Apache County,04001,20130115,323
AZ,Apache County,04001,20130122,323
AZ,Apache County,04001,20130129,317
AZ,Apache County,04001,20130205,317
AZ,Apache County,04001,20130212,293
AZ,Apache County,04001,20130219,289
AZ,Apache County,04001,20130226,289
AZ,Apache County,04001,20130305,289
AZ,Apache County,04001,20130312,284
AZ,Apache County,04001,20130319,284
AZ,Apache County,04001,20130326,284
AZ,Apache County,04001,20130402,284
AZ,Apache County,04001,20130409,306
AZ,Apache County,04001,20130416,315
AZ,Apache County,04001,20130423,332
AZ,Apache County,04001,20130430,350
AZ,Apache County,04001,20130507,350
AZ,Apache County,04001,20130514,350
AZ,Apache County,04001,20130521,350
AZ,Apache County,04001,20130528,350
AZ,Apache County,04001,20130604,356
AZ,Apache County,04001,20130611,355
AZ,Apache County,04001,20130618,369
AZ,Apache County,04001,20130625,370
AZ,Apache County,04001,20130702,384
AZ,Apache County,04001,20130709,383
AZ,Apache County,04001,20130716,383
AZ,Apache County,04001,20130723,383
AZ,Apache County,04001,20130730,380
AZ,Apache County,04001,20130806,364
AZ,Apache County,04001,20130813,364
AZ,Apache County,04001,20130820,359
AZ,Apache County,04001,20130827,359
AZ,Apache County,04001,20130903,355
AZ,Apache County,04001,20130910,355
AZ,Apache County,04001,20130917,277
AZ,Apache County,04001,20130924,249
AZ,Apache County,04001,20131001,249
AZ,Apache County,04001,20131008,249
AZ,Apache County,04001,20131015,249
AZ,Apache County,04001,20131022,249
AZ,Apache County,04001,20131029,249
AZ,Apache County,04001,20131105,249
AZ,Apache County,04001,20131112,249
AZ,Apache County,04001,20131119,249
AZ,Apache County,04001,20131126,241
AZ,Apache County,04001,20131203,241
AZ,Apache County,04001,20131210,241
AZ,Apache County,04001,20131217,241
AZ,Apache County,04001,20131224,225
AZ,Apache County,04001,20131231,225
AZ,Apache County,04001,20140107,235
AZ,Apache County,04001,20140114,235
AZ,Apache County,04001,20140121,235
AZ,Apache County,04001,20140128,247
AZ,Apache County,04001,20140204,247
AZ,Apache County,04001,20140211,254
AZ,Apache County,04001,20140218,271
AZ,Apache County,04001,20140225,271
AZ,Apache County,04001,20140304,282
AZ,Apache County,04001,20140311,282
AZ,Apache County,04001,20140318,282
AZ,Apache County,04001,20140325,282
AZ,Apache County,04001,20140401,282
AZ,Apache County,04001,20140408,282
AZ,Apache County,04001,20140415,282
AZ,Apache County,04001,20140422,282
